dataset,model,n_protocols,n_pipelines,mean_balanced_accuracy,max_balanced_accuracy,mean_macro_f1,top_pipeline,top_pipeline_selector,top_pipeline_protocol
ecg,rf,3,1,0.2034672202214219,0.21428571428571427,0.18224261830025357,rf+none,none,within_participant
ecg,knn,3,1,0.19669784580498864,0.21428571428571427,0.17410711686603317,knn+none,none,within_participant
ecg,gaussian_nb,3,1,0.1729630741185363,0.21428571428571427,0.1249361907877282,gaussian_nb+none,none,within_participant
ecg,svm,3,1,0.1681428126806278,0.19285714285714284,0.12782292809794027,svm+none,none,within_participant
ecg,logreg,3,1,0.16747587924058513,0.19999999999999998,0.1303328436324982,logreg+none,none,within_participant
ecg,mlp,3,1,0.1624980547774665,0.16751700680272108,0.13443646701498513,mlp+none,none,loso
ecg,decision_tree,3,1,0.1419603952692188,0.15,0.11671432914743125,decision_tree+none,none,within_participant
eeg,mlp,3,1,0.24568716375439062,0.3071428571428571,0.21416569808552524,mlp+none,none,within_participant
eeg,rf,3,1,0.21632486327864484,0.2785714285714286,0.16144454211836665,rf+none,none,within_participant
eeg,svm,3,1,0.21578964919301055,0.2857142857142857,0.17806054403715801,svm+none,none,within_participant
eeg,knn,3,1,0.21102607709750565,0.2571428571428571,0.18050780511579648,knn+none,none,within_participant
eeg,gaussian_nb,3,1,0.20247543461829176,0.25,0.14580576880740445,gaussian_nb+none,none,within_participant
eeg,logreg,3,1,0.197286136676893,0.2714285714285714,0.15442087937357454,logreg+none,none,within_participant
eeg,decision_tree,3,1,0.18008370014672537,0.22857142857142856,0.15670330484058878,decision_tree+none,none,within_participant
fused,rf,3,1,0.21027966742252455,0.2173469387755102,0.16613820859204978,rf+none,none,group_holdout
fused,decision_tree,3,1,0.1945578231292517,0.2571428571428571,0.18127239277884163,decision_tree+none,none,within_participant
fused,mlp,3,1,0.18448601662887376,0.20714285714285713,0.16177660481218023,mlp+none,none,within_participant
fused,logreg,3,1,0.18240740740740738,0.3,0.11661536814731753,logreg+none,none,within_participant
fused,svm,3,1,0.176984126984127,0.21428571428571427,0.13571558427187905,svm+none,none,within_participant
fused,knn,3,1,0.16746031746031745,0.1773809523809524,0.15523240740530078,knn+none,none,group_holdout
fused,gaussian_nb,3,1,0.1477891156462585,0.17142857142857143,0.05415295116183011,gaussian_nb+none,none,within_participant
pupil,decision_tree,3,1,0.24450113378684804,0.3071428571428571,0.2197727618228864,decision_tree+none,none,within_participant
pupil,rf,3,1,0.23845427059712776,0.35714285714285715,0.18450167055723118,rf+none,none,within_participant
pupil,mlp,3,1,0.2324074074074074,0.30714285714285716,0.16559646966793548,mlp+none,none,within_participant
pupil,svm,3,1,0.2305933484504913,0.3214285714285714,0.16109924008223672,svm+none,none,within_participant
pupil,knn,3,1,0.19909297052154196,0.29285714285714287,0.163185588212397,knn+none,none,within_participant
pupil,gaussian_nb,3,1,0.1501700680272109,0.17857142857142858,0.05498497627956952,gaussian_nb+none,none,within_participant
pupil,logreg,3,1,0.13979591836734692,0.19285714285714284,0.07834361190322663,logreg+none,none,within_participant
