dataset,protocol,n_models,n_pipelines,mean_balanced_accuracy,max_balanced_accuracy,mean_macro_f1
ecg,group_holdout,7,7,0.16159559061719928,0.19472705748966257,0.14741826554940368
ecg,loso,7,7,0.16549238743116293,0.2013888888888889,0.12521013398393246
ecg,within_participant,7,7,0.19285714285714284,0.21428571428571427,0.15191124068675088
eeg,group_holdout,7,7,0.1682392004420816,0.19141156462585035,0.14582674684893915
eeg,loso,7,7,0.19282474894719792,0.24844104308390025,0.13134224974183922
eeg,within_participant,7,7,0.2683673469387755,0.3071428571428571,0.23330609299997057
fused,group_holdout,7,7,0.16873987690314224,0.2173469387755102,0.1348564856806159
fused,loso,7,7,0.15561224489795916,0.20634920634920634,0.10996807866606115
fused,within_participant,7,7,0.21734693877551017,0.3,0.1712769430116369
pupil,group_holdout,7,7,0.1752672497570457,0.2259637188208617,0.13359769647493527
pupil,loso,7,7,0.16014739229024944,0.2003968253968254,0.09196191565333915
pupil,within_participant,7,7,0.27959183673469384,0.35714285714285715,0.21479081009693254
