scenario,protocol,weighted_ba,weighted_macro_f1
all_bins,group_holdout,0.1684604794298672,0.1404247986384735
all_bins,loso,0.16851919339164237,0.114620594511293
all_bins,within_participant,0.2395408163265306,0.1928212716988227
omit_easiest,group_holdout,0.18141940804099416,0.15317014909034393
omit_easiest,loso,0.17902021919879063,0.11839365736137965
omit_easiest,within_participant,0.2538690476190476,0.21250150312650312
three_level_merged,group_holdout,0.3867063492063492,0.3571970690066121
three_level_merged,loso,0.3947215460258177,0.32163084776657536
three_level_merged,within_participant,0.47210317460317464,0.4411420764580318
